"","gene_id","source","gene_version","gene_name","gene_biotype","phase"
"ENSMUSG00000000902","ENSMUSG00000000902","ensembl_havana","13","Smarcb1","protein_coding",NA
"ENSMUSG00000000903","ENSMUSG00000000903","ensembl_havana","3","Vpreb3","protein_coding",NA
"ENSMUSG00000000915","ENSMUSG00000000915","ensembl_havana","15","Hip1r","protein_coding",NA
"ENSMUSG00000000916","ENSMUSG00000000916","ensembl_havana","15","Nsun5","protein_coding",NA
"ENSMUSG00000000934","ENSMUSG00000000934","ensembl_havana","8","Top1mt","protein_coding",NA
"ENSMUSG00000000938","ENSMUSG00000000938","ensembl_havana","11","Hoxa10","protein_coding",NA
"ENSMUSG00000000942","ENSMUSG00000000942","ensembl_havana","10","Hoxa4","protein_coding",NA
"ENSMUSG00000000948","ENSMUSG00000000948","havana","16","Gm38393","protein_coding",NA
"ENSMUSG00000000957","ENSMUSG00000000957","ensembl_havana","9","Mmp14","protein_coding",NA
"ENSMUSG00000000958","ENSMUSG00000000958","ensembl_havana","9","Slc7a7","protein_coding",NA
"ENSMUSG00000000959","ENSMUSG00000000959","ensembl_havana","6","Oxa1l","protein_coding",NA
"ENSMUSG00000000976","ENSMUSG00000000976","ensembl_havana","13","Heatr6","protein_coding",NA
"ENSMUSG00000000982","ENSMUSG00000000982","ensembl_havana","5","Ccl3","protein_coding",NA
"ENSMUSG00000000983","ENSMUSG00000000983","ensembl_havana","13","Wfdc18","protein_coding",NA
"ENSMUSG00000001014","ENSMUSG00000001014","ensembl","5","Icam4","protein_coding",NA
"ENSMUSG00000001016","ENSMUSG00000001016","ensembl_havana","12","Ilf2","protein_coding",NA
"ENSMUSG00000001017","ENSMUSG00000001017","ensembl_havana","15","Chtop","protein_coding",NA
"ENSMUSG00000001018","ENSMUSG00000001018","ensembl_havana","15","Snapin","protein_coding",NA
"ENSMUSG00000001020","ENSMUSG00000001020","ensembl_havana","8","S100a4","protein_coding",NA
"ENSMUSG00000001021","ENSMUSG00000001021","ensembl_havana","12","S100a3","protein_coding",NA
"ENSMUSG00000001023","ENSMUSG00000001023","ensembl_havana","10","S100a5","protein_coding",NA
"ENSMUSG00000001025","ENSMUSG00000001025","ensembl_havana","8","S100a6","protein_coding",NA
"ENSMUSG00000001027","ENSMUSG00000001027","ensembl_havana","7","Scn4a","protein_coding",NA
"ENSMUSG00000001029","ENSMUSG00000001029","ensembl_havana","15","Icam2","protein_coding",NA
"ENSMUSG00000001034","ENSMUSG00000001034","ensembl_havana","17","Mapk7","protein_coding",NA
"ENSMUSG00000001036","ENSMUSG00000001036","ensembl_havana","17","Epn2","protein_coding",NA
"ENSMUSG00000001039","ENSMUSG00000001039","ensembl_havana","12","B9d1","protein_coding",NA
"ENSMUSG00000001052","ENSMUSG00000001052","ensembl_havana","15","Sec24b","protein_coding",NA
